Class,Subclass2,Subclass3,Subclass4,Subclass5,Subclass6,Subclass7,Subclass8,nuclex_nid,parent_OBO,obo_id,obo_axiom,radlex_purl,radlex_axiom,playbook_rpid,umls_cui,umls_axiom,nci_thesaurus_code,nci_thesaurus_axiom,snomedct_code,snomedct_axiom,ibsi_code,ibsi_axiom,dicom_code,Other,Other_axiom,Measurement?,Assignment ID,Approver/Endorser ID,Comments,Synonyms,Definitions ,ro:has_part,ro:is_part_of,ro:uses,ro:is_made_of,ro:treats,ro:has_input,ro:has_output,ro:is_about,nuclex:is_theranostic_pair,nuclex:binds_to,nuclex:is_radiolabeled_analog_of,,,,,,,
,,Sodium-22,,,,,,nuclex:000582,,,,,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/71633006,,,,,,,,,1001;1002;1010,,"Na-22, 22Na","A radioactive isotope of Sodium, containing 11 protons and 11 neutrons.",,,,,,,,,,,,,,,,,,
,,Strontium-82,,,,,,nuclex:000583,,,,,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/41592004,,,,,,,,,1001;1002;1010,,"Sr-82, 82Sr","A radioactive isotope of Strontium, containing 38 protons and 44 neutrons.",,,,,,,,,,,,,,,,,,
,,Strontium-89,,,,,,nuclex:000584,,,,,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/7770004,,,,,,,,,1001;1002;1010,,"Sr-89, 89Sr","A radioactive isotope of Strontium, containing 38 protons and 51 neutrons.",,,,,,,,,,,,,,,,,,
,,Strontium-90,,,,,,nuclex:000585,,,,,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/14071002,,,,,,,,,1001;1002;1010,,"Sr-90, 90Sr","A radioactive isotope of Strontium, containing 38 protons and 52 neutrons.",,,,,,,,,,,,,,,,,,
,,Technetium-99m,,,,,,nuclex:000586,,,,http://www.radlex.org/RID/RID50051,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/72454006,,,,,http://purl.bioontology.org/ontology/LNC/LP208899-7,,,,1001;1002;1010,,"Tc-99m, 99mTc","A radioactive isotope (metastable nuclear isomer) of Technetium, containing 43 protons and 56 neutrons.",,,,,,,,,,,,,,,,,,
,,Terbium-149,,,,,,nuclex:000587,,,,,,,,,,,,,,,,,,,,1001;1002;1010,,"Tb-149, 149Tb","A radioactive isotope of Terbium, containing 65 protons and 84 neutrons.",,,,,,,,,,,,,,,,,,
,,Terbium-152,,,,,,nuclex:000588,,,,,,,,,,,,,,,,,,,,1001;1002;1010,,"Tb-152, 152Tb","A radioactive isotope of Terbium, containing 65 protons and 87 neutrons.",,,,,,,,,,,,,,,,,,
,,Terbium-155,,,,,,nuclex:000589,,,,,,,,,,,,,,,,,,,,1001;1002;1010,,"Tb-155, 155Tb","A radioactive isotope of Terbium, containing 65 protons and 90 neutrons.",,,,,,,,,,,,,,,,,,
,,Terbium-161,,,,,,nuclex:000590,,,,,,,,,,,,,,,,,,,,1001;1002;1010,,"Tb-161, 161Tb","A radioactive isotope of Terbium, containing 65 protons and 96 neutrons.",,,,,,,,,,,,,,,,,,
,,Thallium-201,,,,,,nuclex:000591,,,,http://www.radlex.org/RID/RID11753,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/60057003,,,,,http://purl.bioontology.org/ontology/LNC/LP35669-8,,,,1001;1002;1010,,"Tl-201, 201Tl","A radioactive isotope of Thallium, containing 81 protons and 120 neutrons.",,,,,,,,,,,,,,,,,,
,,Thorium-227,,,,,,nuclex:000592,,,,,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/89632009,,,,,,,,,1001;1002;1010,,"Th-227, 227Th","A radioactive isotope of Thorium, containing 90 protons and 137 neutrons.",,,,,,,,,,,,,,,,,,
,,Xenon-133,,,,,,nuclex:000593,,,,http://www.radlex.org/RID/RID11755,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/80751004,,,,,http://purl.bioontology.org/ontology/LNC/LP200087-7 ,,,,1001;1002;1010,,"Xe-133, 133Xe","A radioactive isotope of Xenon, containing 54 protons and 79 neutrons.",,,,,,,,,,,,,,,,,,
,,Yttrium-90,,,,,,nuclex:000594,,,,,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/14691008,,,,,,,,,1001;1002;1010,,"Y-90, 90Y","A radioactive isotope of Yttrium, containing 39 protons and 51 neutrons.",,,,,,,,,,,,,,,,,,
,,Zirconium-89,,,,,,nuclex:000595,,,,,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/63360001,,,,,,,,,1001;1002;1010,,"Zr-89, 89Zr","A radioactive isotope of Zirconium, containing 40 protons and 49 neutrons.",,,,,,,,,,,,,,,,,,
,radiation,,,,,,,nuclex:000596,,,,,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/82107009,,,,,http://purl.bioontology.org/ontology/LNC/LP75484-3,,,,1001;1002;1010,,radiation type,"Energy emitted from a source and transmitted through space or matter, either as a wave or a particle. ",,,,,,,,,,,,,,,,,,
,,ionizing radiation,,,,,,nuclex:000597,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17052,,http://purl.bioontology.org/ontology/SNOMEDCT/125576007,,,,,,,,,1001;1002;1010,,,Radiation with enough energy to remove a bound electron from an atom and create an ion. ,,,,,,,,,,,,,,,,,,
,,nonionizing radiation,,,,,,nuclex:000598,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17053,,,,,,,,,,,1001;1002;1010,,non-ionizing radiation,"Radiation without enough energy to remove a bound electron, but may cause excitation or thermal heating. ",,,,,,,,,,,,,,,,,,
,,electromagnetic radiation,,,,,,nuclex:000599,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17050,,http://purl.bioontology.org/ontology/SNOMEDCT/30821001,,,,,,,,,1001;1002;1010,,"EM, EM wave, electromagnetic wave",Energy propagated through space or matter in the form of oscillating electric and magnetic waves (or quanta called photons).,,,,,,,,,,,,,,,,,,
,,,photon,,,,,nuclex:000600,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88112,,http://purl.bioontology.org/ontology/SNOMEDCT/290006006,,,,,,,,,1001;1002;1010,,,"The elementary quantum particle of electromagnetic radiation, having zero rest mass and traveling at the speed of light.",,,,,,,,,,,,,,,,,,
,,,,x-ray,,,,nuclex:000601,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17262,,http://purl.bioontology.org/ontology/SNOMEDCT/52250000,,,,,http://purl.bioontology.org/ontology/LNC/LP21166-1,,,,1001;1002;1010,,,"High-energy electromagnetic radiation originating from electron interactions or transitions outside the atomic nucleus, often in the energy range of 0.1-300 keV.",,,,,,,,,,,,,,,,,,
,,,,,characteristic x-ray,,,nuclex:000602,,,,,,,,,,,,,,,,,,,,1001;1002;1010,,,Monoenergetic x-rays emitted when an outer-shell electron fills a vacancy in an inner electron shell.,,,,,,,,,,,,,,,,,,
,,,,gamma ray,,,,nuclex:000603,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C44386,,http://purl.bioontology.org/ontology/SNOMEDCT/421416008,,,,,,,,,1001;1002;1010,,"gamma photon, gamma","High-energy electromagnetic radiation originating from transitions within the atomic nucleus, often with energies above 100 keV.",,,,,,,,,,,,,,,,,,
,,,,,annihilation gamma ray,,,nuclex:000604,,,,,,,,,,,,,,,,,,,,1001;1002;1010,,"annihilation photon, 511 keV annihilation gamma ray, annihilation radiation","Photons produced when a particle and its antiparticle collide and annihilate, most commonly an electron and positron producing two 511 keV photons.",,,,,,,,,,,,,,,,,,
,,,,Bremsstrahlung radiation,,,,nuclex:000605,,,,,,,,,,,,,,,,,,,,1001;1002;1010,,"Bremsstrahlung, BRS",Electromagnetic radiation produced by the deceleration of a high-energy charged particle (usually an electron) when deflected by another charged particle (usually an atomic nucleus).,,,,,,,,,,,,,,,,,,
,,,electromagnetic field,,,,,nuclex:000606,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16533,,,,,,,,,,,1001;1002;1010,,EM field,"A field produced by electrically charged objects, consisting of electric and magnetic components.",,,,,,,,,,,,,,,,,,
,radioactive decay products,,,,,,,nuclex:000607,,,,,,,,,,,,,,,,,,,1010,1001;1002,,,,,,,,,,,,,,,,,,,,,
,,positron,,,,,,nuclex:000608,,http://purl.obolibrary.org/obo/CHEBI_30225,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94957,,,,,,,,,,1010,1001;1002,,"ß+, beta plus",,,,,,,,,,,,,,,,,,,
,,alpha particle,,,,,,nuclex:000609,,,,,,,C0002217,,,,http://purl.bioontology.org/ontology/SNOMEDCT/58131001,,,,,,,,1010,1001;1002,,alpha,,,,,,,,,,,,,,,,,,,
,,beta particle,,,,,,nuclex:000610,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94864,,,,,,,,,,1010,1001;1002,,beta minus particle,,,,,,,,,,,,,,,,,,,
,,Auger electron,,,,,,nuclex:000611,,,,,,,,,,,,,,,,,,,1010,1001;1002,,,,,,,,,,,,,,,,,,,,,
,,internal conversion electron,,,,,,nuclex:000612,,,,,,,,,,,,,,,,,,,1010,1001;1002,,IC electron,,,,,,,,,,,,,,,,,,,
,subatomic particle,,,,,,,nuclex:000613,,http://purl.obolibrary.org/obo/CHEBI_36342,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40429,,http://purl.bioontology.org/ontology/SNOMEDCT/285322002,,,,,,,,1010,1001;1002,,,,,,,,,,,,,,,,,,,,,
,,neutron,,,,,,nuclex:000614,,http://purl.obolibrary.org/obo/CHEBI_30222,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40432,,http://purl.bioontology.org/ontology/SNOMEDCT/58607005,,,,,,,,1010,1001;1002,,,,,,,,,,,,,,,,,,,,,
,,proton,,,,,,nuclex:000615,,http://purl.obolibrary.org/obo/CHEBI_24636,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17024,,http://purl.bioontology.org/ontology/SNOMEDCT/89177007,,,,,,,,1010,1001;1002,,,,,,,,,,,,,,,,,,,,,
,,electron,,,,,,nuclex:000616,,http://purl.obolibrary.org/obo/CHEBI_10545,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40428,,http://purl.bioontology.org/ontology/SNOMEDCT/46602004,,,,,,,,1010,1001;1002,,,,,,,,,,,,,,,,,,,,,
imaging observation,,,,,,,,nuclex:000617,,,,http://www.radlex.org/RID/RID5,,,,,,,,,,,,,,,,1001;1002;1004,,,,,,,,,,,,,,,,,,,,,
,imaging assessment,,,,,,,nuclex:000618,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,assessment,,,,,,,,,,,,,,,,,,,
,,standardized oncology therapy response evaluation criteria ,,,,,,nuclex:000619,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,therapy response criteria,,,,,,,,,,,,,,,,,,,
,,,Deauville five-point scale,,,,,nuclex:000620,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"5-point scale, five-point scale, Deauville scale, Deauville scoring, Deauville 5-point scale, Deauville score","A 5-point visual scoring system used to interpret FDG-PET/CT scans in lymphoma. It standardizes response assessment by comparing the metabolic activity (FDG PET uptake) in a tumor to the activity in reference points, specifically the mediastinal blood pool and the liver.",,,,,,,,,,,,,,,,,,
,,,mIBG score,,,,,nuclex:000621,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,,,,,,,,,,,,,,,,,,,,
,,,,Curie score,,,,nuclex:000622,,,,,,,,,,,,,,,,,,,,1001;1002;1004,Both diagnostic and response assessment,,,,,,,,,,,,,,,,,,,,
,,,,modified Curie score,,,,nuclex:000623,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,,,,,,,,,,,,,,,,,,,,
,,,,SIOPEN score ,,,,nuclex:000624,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,,,,,,,,,,,,,,,,,,,,
,,,response evaluation criteria in prostate-specific membrane antigen positron emission tomography/computed tomography,,,,,nuclex:000625,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"RECIP, response evaluation criteria in PSMA PET/CT",Criteria for standardized assessment of tumor response to therapy in prostate cancer using PSMA PET/CT scans. It defines rules for confirming a response or progression based on changes in PSMA-avid tumor burden.,,,,,,,,,,,,,,,,,,
,,,response evaluation criteria in solid tumors,,,,,nuclex:000626,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49164,,,,,,,,,,,1001;1002;1004,,RECIST,A set of criteria that classifies response to therapy based on the change in the size (sum of longest diameters) of target lesions on CT or MRI.,,,,,,,,,,,,,,,,,,
,,,positron emission tomography response criteria in solid tumors,,,,,nuclex:000627,,,,,,,,,,,,,,,,10.2967/jnumed.108.057307,rdfs:seeAlso,,,1001;1002;1004,,PERCIST,"Criteria for assessing tumor response to therapy using functional changes on PET scans. It focuses on changes in the metabolic activity (specifically, the peak SUV) of tumors, rather than just changes in size.",,,,,,,,,,,,,,,,,,
,,,European Organisation for Research and Treatment of Cancer positron emission tomography criteria,,,,,nuclex:000628,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"EORTC criteria, EORTC PET criteria",,,,,,,,,,,,,,,,,,,
,,,positron emission tomography/computed tomography criteria for early prediction of response to immune checkpoint inhibitor therapy ,,,,,nuclex:000629,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"PECRIT, PECRIT criteria, PET/CT criteria for early prediction of response to immune checkpoint inhibitor therapy ",,,,,,,,,,,,,,,,,,,
,,,positron emission tomography response evaluation criteria for immunotherapy,,,,,nuclex:000630,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"PERCIMT, PET response evaluation criteria for immunotherapy",,,,,,,,,,,,,,,,,,,
,,,immune-related response evaluation criteria in solid tumors,,,,,nuclex:000631,,,,,,,,,"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140313",,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140313,,,,,,,,,1001;1002;1004,,"iRECIST, immune-related response evaluation criteria in solid tumors, response evaluation criteria in solid tumors for immune-based therapeutics",,,,,,,,,,,,,,,,,,,
,,,immune-related positron emission tomography response criteria in solid tumors,,,,,nuclex:000632,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,iPERCIST,,,,,,,,,,,,,,,,,,,
,,standardized oncology diagnostic interpretation and reporting criteria,,,,,,nuclex:000633,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"diagnostic interpretation criteria, diagnostic reporting criteria",,,,,,,,,,,,,,,,,,,
,,,Lugano five-point scale,,,,,nuclex:000634,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"Lugano criteria, Lugano 5-point scale","A standard for staging, response assessment, and surveillance of lymphoma. It provides an integrated framework that combines clinical findings with imaging results. ",,,,,,,,,,,,,,,,,,
,,,prostate-specific membrane antigen reporting and data system,,,,,nuclex:000635,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,PSMA-RADS,A system for standardizing the interpretation and reporting of PSMA PET scans.,,,,,,,,,,,,,,,,,,
,,,prostate cancer molecular imaging standardized evaluation,,,,,nuclex:000636,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"PROMISE, PROMISE criteria","A guide for the interpretation of PSMA-PET scans. PROMISE classifies the extent of disease on a PSMA-PET scan by categorizing it into specific regions: local (T), lymph node (N), and organ (M) spread. Disease extent and location is reported for all body regions and summarized in a comprehensive diagnosis code.",,,,,,,,,,,,,,,,,,
,,,E-PSMA,,,,,nuclex:000637,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,EANM standardized reporting guidelines for PSMA-PET,A set of standardized reporting guidelines for PSMA PET developed and endorsed by the European Association of Nuclear Medicine,,,,,,,,,,,,,,,,,,
,,,Krenning score,,,,,nuclex:000638,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"Krenning grade, Krenning number",A numerical score used to grade the uptake intensity of neuroendocrine tumors on somatostatin receptor imaging such as octreotide scan.,,,,,,,,,,,,,,,,,,
,,,fibroblast activation protein reporting and data system,,,,,nuclex:000639,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"fibroblast activation protein RADS, FAP-RADS",,,,,,,,,,,,,,,,,,,
,,,somatostatin receptor reporting and data system,,,,,nuclex:000640,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"SSTR-RADS, SSTR 5-point scale",,,,,,,,,,,,,,,,,,,
,,,bone scan index,,,,,nuclex:000641,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,BSI,,,,,,,,,,,,,,,,,,,
,imaging measurement,,,,,,,nuclex:000642,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,image measurement,,,,,,,,,,,,,,,,,,,
,,region of interest measurement,,,,,,nuclex:000643,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"ROI measurement, voxel measurement, radiomics feature","A quantitative value derived from a defined spatial boundary on a medical image, representing either the statistical properties of the enclosed pixel or voxel intensities or the geometric attributes of the region itself.",,,,,,,,,,,,,,,,,,
,,,length-based measurement,,,,,nuclex:000644,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,length measurement,"A measurement that quantifies a one-dimensional spatial property of an region of interest, such as its span or thickness.",,,,,,,,,,,,,,,,,,
,,,,region of interest length,,,,nuclex:000645,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,ROI length,A length-based measurement of the distance across a region of interest.,,,,,,,,,,,,,,,,,,
,,,,,short-axis length,,,nuclex:000646,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"minor-axis diameter, short-axis diameter",The measurement of the longest distance across a region of interest along the shortest axis that is perpendicular to the object's long axis. ,,,,,,,,,,,,,,,,,,
,,,,,long-axis length,,,nuclex:000647,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"major-axis diameter, long-axis diameter",The measurement of the longest distance across a region of interest.,,,,,,,,,,,,,,,,,,
,,,,,median-axis length,,,nuclex:000648,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,median-axis diameter,The measurement of the distance across a 3D region of interest along the axis whose length lies between the short and long axes.,,,,,,,,,,,,,,,,,,
,,,,,in-plane length,,,nuclex:000649,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,in-plane diameter,"A length measurement taken exclusively within a single 2D image plane (e.g., a single axial, coronal, or sagittal slice)",,,,,,,,,,,,,,,,,,
,,,,,maximum length,,,nuclex:000650,,,,,,,,,"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96684",,,,,,,,,,,1001;1002;1003,,"longest diameter, maximum diameter","The single greatest dimension of a object, measured in any plane or orientation.",,,,,,,,,,,,,,,,,,
,,,,,lumen diameter,,,nuclex:000651,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,hollow diameter,"The long-axis inner length of a tubular structure, such as a blood vessel, measured on a plane perpendicular to the long-axis of the structure. ",,,,,,,,,,,,,,,,,,
,,,,imaging distance,,,,nuclex:000652,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,inter-object distance,The Euclidean distance between two objects in an image.,,,,,,,,,,,,,,,,,,
,,,,,maximum tumor dissemination,,,nuclex:000653,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"Dmax, maximum dissemination","The greatest three-dimensional Euclidean distance between the centroids of two malignant lesions in an image, typically used in lymphoma PET imaging.",,,,,,,,,,,,,,,,,,
,,,,,maximum spleen to tumor distance,,,nuclex:000654,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,Dspleen,"The greatest three-dimensional Euclidean distance between the centroid of the spleen and the centroid of a malignant lesions in an image, typically used in lymphoma PET imaging.",,,,,,,,,,,,,,,,,,
,,,volume measurement,,,,,nuclex:000655,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74720,,,,,,,http://purl.bioontology.org/ontology/LNC/LP208025-9,,,,1001;1002;1003,,volume measure,A measurement that quantifies the volume of a region of interest.,,,,,,,,,,,,,,,,,,
,,,,tumor volume measurement,,,,nuclex:000656,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,disease burden measurement,"A measurement that quantifies the volume of a tumor, as measured on an image.",,,,,,,,,,,,,,,,,,
,,,,,metabolic tumor volume,,,nuclex:000657,,,,,,,,,,,,,,,,,,1,,1001;1002;1003,,MTV,"The volume of a single tumor demonstrating increased metabolic activity, as measured on a FDG PET scan.",,,,,,,,,,,,,,,,,,
,,,,,tumor volume,,,nuclex:000658,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94515,,http://purl.bioontology.org/ontology/SNOMEDCT/258261001,,,,,,,1,,1001;1002;1003,,lesion volume,"The volume of a single tumor as measured using anatomical imaging (CT, MRI).",,,,,,,,,,,,,,,,,,
,,,,,total tumor volume,,,nuclex:000659,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"TTV, total lesion volume, whole-body tumor volume, total tumor burden, TTB","The summed volume of all identified tumors within a patient using anatomical imaging (CT, MRI), representing the total systemic anatomical tumor burden",,,,,,,,,,,,,,,,,,
,,,,,total metabolic tumor volume,,,nuclex:000660,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C202629,,,,,,,,,,,1001;1002;1003,,"TMTV, total metabolic tumor burden","The summed metabolic volume of all metabolically active tumors within a patient as measured with FDG PET/CT, representing the total systemic metabolic tumor burden.",,,,,,,,,,,,,,,,,,
,,,,,total tumor uptake volume,,,nuclex:000661,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,TTUV,The summed volume of all identified tumors within a patient as measured using molecular imaging (PET or SPECT).,,,,,,,,,,,,,,,,,,
,,,,total target uptake volume,,,,nuclex:000662,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,TTaUV,"The summed volume of all regions expressing a molecular target within a patient as measured using molecular imaging (PET, SPECT).",,,,,,,,,,,,,,,,,,
,,,,organ volume ,,,,nuclex:000663,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,,"The total volume of an organ, as measured in an image.",,,,,,,,,,,,,,,,,,
,,,,end-diastolic volume,,,,nuclex:000664,,,,,,,,,,,,,,,,http://purl.bioontology.org/ontology/LNC/MTHU048533,,,,1001;1002;1003,,EDV,"The maximum volume of blood contained within a cardiac ventricle at the end of the diastolic relaxation phase, as measured in an image.",,,,,,,,,,,,,,,,,,
,,,,end-systolic volume,,,,nuclex:000665,,,,,,,,,,,,,,,,http://purl.bioontology.org/ontology/LNC/MTHU048538,,,,1001;1002;1003,,ESV,"The minimum volume of blood remaining within a cardiac ventricle at the end of the systolic contraction phase, as measured in an image.",,,,,,,,,,,,,,,,,,
,,,volume activity composite measurement,,,,,nuclex:000666,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,volumetric uptake measurement,A measurement combining the spatial volume with the activity concentration of a region.,,,,,,,,,,,,,,,,,,
,,,,total lesion glygolysis,,,,nuclex:000667,,,,,,,,,,,,,,,,,,1,,1001;1002;1003,,TLG,The product of the metabolic tumor volume and the mean SUV of the identified tumor regions.,,,,,,,,,,,,,,,,,,
,,,,total lesion uptake,,,,nuclex:000668,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C202627,,,,,,,,,,,1001;1002;1003,,TLU,THe product of the total tumor volume with the mean SUV of the identified tumor regions.,,,,,,,,,,,,,,,,,,
,,,area-based measurement,,,,,nuclex:000669,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,,Any 2-dimensional spatial measurement of a region's area.,,,,,,,,,,,,,,,,,,
,,,,region of interest surface area,,,,nuclex:000670,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"surface area, ROI surface area",The measured two-dimensional extent of the boundary or outer surface of a three-dimensional volume of interest.,,,,,,,,,,,,,,,,,,
,,,activity concentration measurement,,,,,nuclex:000671,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,activity concentration measurement,Any activity concentration measurement of a radioisotope within a region of interest.,,,,,,,,,,,,,,,,,,
,,,,mean activity concentration,,,,nuclex:000672,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"mean Bq/ml, mean Bq/cc","The average activity concentration of a radiopharmaceutical in a defined region of interest, often in units of Bq/ml.",,,,,,,,,,,,,,,,,,
,,,,maximum activity concentration,,,,nuclex:000673,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"max Bq/ml, max Bq/cc, maximum Bq/cc",The highest activity concentration of any individual voxel within a defined region of interest.,,,,,,,,,,,,,,,,,,
,,,activity measurement,,,,,nuclex:000674,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,absolute activity measurement,Any metric quantifying the amount of activity (radioacitivity) in a defined region of interest.,,,,,,,,,,,,,,,,,,
,,,,total activity ,,,,nuclex:000675,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"summed Bq, sum Bq, total Bq, summed activity","The total, or summed, activity (radioacitivity) measured in a region",,,,,,,,,,,,,,,,,,
,,,,mean activity ,,,,nuclex:000676,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,mean Bq,The average radioactivity per voxel in a defined region of interest.,,,,,,,,,,,,,,,,,,
,,,,maximum activity ,,,,nuclex:000677,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"max Bq, maximum Bq",The highest amount of radioactivity within any individual voxel inside a defined region of interest.,,,,,,,,,,,,,,,,,,
,,,,peak activity ,,,,nuclex:000678,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,peak Bq,"The average measured radioactivity within a small, predefined spatial boundary (e.g., 1 cm^3), centered on the voxel with the maximum activity.",,,,,,,,,,,,,,,,,,
,,,relative activity measurement,,,,,nuclex:000679,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,,"Any radioactivity-based measurement in an image that has been normalized by a reference, such as administered activity. ",,,,,,,,,,,,,,,,,,
,,,,standardized uptake value measurement,,,,nuclex:000680,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,SUV measurement,"A measure of radiopharmaceutical uptake normalized by the injected activity and the patient's body weight, in units of g/ml. ",,,,,,,,,,,,,,,,,,
,,,,,mean standardized uptake value,,,nuclex:000681,,,,,,,,,,,,,,,,,,1,,1001;1002;1003,,"SUVmean, mean SUV",The average standardized uptake value of all voxels within a region of interest.,,,,,,,,,,,,,,,,,,
,,,,,maximum standardized uptake value,,,nuclex:000682,,,,,,,,,,,,,,,,,,1,,1001;1002;1003,,"SUVmax, max SUV, maximum SUV","The highest recorded radioactivity concentration of a voxel within a region of interest, normalized by injected activity and patient body weight.",,,,,,,,,,,,,,,,,,
,,,,,peak standardized uptake value,,,nuclex:000683,,,,,,,,,,,,,,,,,,1,,1001;1002;1003,,"SUVpeak, peak SUV","The mean standardized uptake value within a small, predefined volume (e.g., 1 cm^3) centered around the voxel with the highest standardized uptake value.",,,,,,,,,,,,,,,,,,
,,,,standardized uptake value based on lean body mass measurement,,,,nuclex:000684,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"SUL, SUV lean, SUV lean body mass","A measure of radiopharmaceutical uptake normalized by the injected activity and the patient's lean body mass, in units of g/ml. ",,,,,,,,,,,,,,,,,,
,,,,,mean standardized uptake value based on lean body mass ,,,nuclex:000685,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"mean SUL, mean SUV lean","The mean standardized uptake value within a small, predefined volume (e.g., 1 cm^3) centered around the voxel with the highest standardized uptake value.",,,,,,,,,,,,,,,,,,
