Class,Subclass2,Subclass3,Subclass4,Subclass5,Subclass6,Subclass7,Subclass8,nuclex_nid,parent_OBO,obo_id,obo_axiom,radlex_purl,radlex_axiom,playbook_rpid,umls_cui,umls_axiom,nci_thesaurus_code,nci_thesaurus_axiom,snomedct_code,snomedct_axiom,ibsi_code,ibsi_axiom,dicom_code,Other,Other_axiom,Measurement?,Assignment ID,Approver/Endorser ID,Comments,Synonyms,Definitions ,ro:has_part,ro:is_part_of,ro:uses,ro:is_made_of,ro:treats,ro:has_input,ro:has_output,ro:is_about,nuclex:is_theranostic_pair,nuclex:binds_to,nuclex:is_radiolabeled_analog_of,,,,,,,
,,,,,static positron emission tomography scan,,,nuclex:000029,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"static PET scan, static PET, static PET study",A positron emission tomography scan where image acquisition occurs at a specific time point (or summed over a period) after the initial distribution of the radiopharmaceutical.,,,,,,,,,,,,,,,,,,
,,,,,whole-body positron emission tomography scan,,,nuclex:000030,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"WB PET, whole-body PET exam, whole-body PET scan, WB PET scan, WB PET study, whole-body PET study, PT whole body","A positron emission tomography scan characterized by an extensive axial field of view, potentially excluding only limbs and top of skull.",,,,,,,,,,,,,,,,,,
,,,,,total-body positron emission tomography scan,,,nuclex:000031,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"TB PET scan, total-body PET exam, total-body scan, total-body PET scan","A positron emission tomography scan characterized by an extended axial field of view, including all limbs and top of skull.",,,,,,,,,,,,,,,,,,
,,,,hybrid imaging procedure,,,,nuclex:000032,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,dual-modality imaging,"An imaging procedure combining data from two or more different modalities, typically acquired in the same exam.",,,,,,,,,,,,,,,,,,
,,,,,single-photon emission computed tomography/computed tomography scan,,,nuclex:000033,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"SPECT/CT, SPECT/CT exam, SPECT/CT study",A hybrid single-photon emission computed tomography and CT imaging procedure.,,,,,,,,,,,,,,,,,,
,,,,,positron emission tomography/computed tomography scan,,,nuclex:000034,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"PET/CT, PET/CT exam, PET/CT study",A hybrid PET and CT imaging procedure.,,,,,,,,,,,,,,,,,,
,,,,,positron emission tomography/magnetic resonance scan,,,nuclex:000035,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"PET/MR scan, PET/MR exam, PET/MR, PET/MR study",A hybrid PET and MR imaging procedure.,,,,,,,,,,,,,,,,,,
,,,,,single-session/simulatneous vs serial,,,nuclex:000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,contrast enhanced CT w/ PET for diagnostic purposes (and all possible combinations),,,nuclex:000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,CTAC w/ contrast from prior diagnostic CT in same session,,,nuclex:000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,single-photon emission computed tomography scan,,,,nuclex:000039,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"SPECT scan, SPECT exam, SPECT study","A tomographic nuclear medicine imaging procedure creating 3D images from gamma rays emitted by administered radiopharmaceuticals, acquired by a rotating or multi-detector gamma camera. ",,,,,,,,,,,,,,,,,,
,,,,,whole-body single-photon emission computed tomography scan,,,nuclex:000040,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"WB SPECT, whole-body SPECT exam, whole-body SPECTscan, WB SPECT scan, WB SPECT study, whole-body SPECT study","A single-photon emission computed tomography scan characterized by an extensive axial field of view, potentially excluding only limbs and top of skull.",,,,,,,,,,,,,,,,,,
,,,,planar scintigraphy scan,,,,nuclex:000041,,,,http://www.radlex.org/RID/RID34428,,,,,,,,,,,,,,,,1001;1002;1004,,"planar imaging, planar scan, planar imaging exam, scintigraphy, scintigraphy scan, gamma scan",A nuclear medicine imaging procedure creating 2D projection images (scintigrams) from detected gamma radiation.,,,,,,,,,,,,,,,,,,
,,,,,dynamic planar scintigraphy scan,,,nuclex:000042,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"multi-frame scintigraphy scan, multi-frame planar scan, dynamic planar scan, multigated acquisition",Planar scintigraphy involving sequential image acquisition over time to assess physiological function or tracer kinetics.,,,,,,,,,,,,,,,,,,
,,,,,static planar scintigraphy scan,,,nuclex:000043,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,static nuclear medicine scan,Planar scintigraphy involving image acquisition at a single time point or summed over a period to show tracer distribution.,,,,,,,,,,,,,,,,,,
,,,,,whole-body scintigraphy scan,,,nuclex:000044,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"WB scintigraphy, WB planar scan, whole-body planar scan",A diagnostic technique which produces a two- dimensional image of the body with the use of radionuclides.,,,,,,,,,,,,,,,,,,
,,,,dual-tracer scan,,,,nuclex:000045,,,,,,,,,,,,,,,,,,,,,,"dual isotope scan, multi-targeted scan, dual radiopharmaceutical scan, dual radiotracer scan",,,,,,,,,,,,,,,,,,,
,,,application-specific nuclear medicine imaging procedure,,,,,nuclex:000046,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19565,,,,,,,,,,,1001;1002;1004,,"disease-specific nuclear medicine scan, application-specific nuclear medicine scan",A general category for nuclear medicine scans defined primarily by their clinical application or target organ system. ,,,,,,,,,,,,,,,,,,
,,,,oncologic nuclear medicine scan,,,,nuclex:000047,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"nuclear medicine oncology scan, nuclear medicine oncology imaging",A general category of nuclear medicine scans in which the goal is to detect or assess cancer. ,,,,,,,,,,,,,,,,,,
,,,,,oncologic positron emission tomography scan,,,nuclex:000048,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"oncology PET scan, oncologic PET scan, oncologic PET study, oncologic PET exam, oncology PET exam, oncology PET exam","A positron emission tomography scan for oncologic diagnosis, staging, or treatment evaluation.",,,,,,,,,,,,,,,,,,
